Designator,Mid X,Mid Y,Rotation,Layer
C1,136.732,-103.3485,270.0,top
C10,130.412,-101.919,0.0,top
C11,168.683,-102.4585,0.0,top
C12,165.521,-104.4905,0.0,top
C2,139.158,-97.7605,0.0,top
C3,139.308,-95.9825,0.0,top
C4,142.522,-89.257,270.0,top
C5,147.715,-108.815,180.0,top
C6,148.885,-88.482,0.0,top
C7,149.164,-90.26,0.0,top
C8,152.16,-83.415,90.0,top
C9,154.054,-83.55558,90.0,top
D1,142.574,-97.6335,180.0,top
D2,129.046,-94.337,0.0,top
D3,183.783,-109.056,90.0,top
D4,182.005,-109.0435,90.0,top
D5,137.696,-85.067,90.0,top
D6,148.621,-86.59,0.0,top
F1,141.873,-85.447,0.0,top
J1,128.03,-87.225,270.0,top
J2,188.468,-96.647,90.0,top
J3,134.502,-116.181,0.0,top
Q1,138.397,-89.4325,90.0,top
R1,141.05,-103.3485,0.0,top
R10,142.713,-91.543,0.0,top
R11,130.489,-100.395,180.0,top
R12,131.078,-107.545,270.0,top
R13,167.921,-104.7445,90.0,top
R2,130.507,-81.129,0.0,top
R3,127.459,-81.129,180.0,top
R4,183.783,-112.117,270.0,top
R5,143.59,-99.9195,270.0,top
R6,182.005,-112.117,270.0,top
R7,135.918,-89.3575,90.0,top
R8,167.921,-109.8875,90.0,top
R9,168.81,-107.6655,0.0,top
SW1,146.445,-120.245,0.0,top
SW2,158.445,-120.245,0.0,top
SW3,170.445,-120.245,0.0,top
SW4,182.445,-120.245,0.0,top
SW5,191.123,-107.291,0.0,top
SW6,191.123,-86.971,0.0,top
SW7,127.504,-104.459,0.0,top
SW8,127.522,-109.452,0.0,top
U1,139.272,-100.5545,90.0,top
U2,165.635,-107.2845,270.0,top
U3,145.3105,-89.257,180.0,top
U4,164.706,-88.191,0.0,top
